,Statistic,tumor_stage,value,MCCV
2,FN,i,6,555
3,TN,i,11,555
4,TP,ii,1,555
0,TP,i,1,556
1,FP,i,6,556
2,FN,i,5,556
3,TN,i,9,556
4,TP,ii,1,556
0,TP,i,2,557
1,FP,i,7,557
2,FN,i,7,557
3,TN,i,5,557
4,TP,ii,0,557
0,TP,i,0,558
1,FP,i,6,558
2,FN,i,5,558
3,TN,i,10,558
4,TP,ii,1,558
0,TP,i,2,559
1,FP,i,5,559
2,FN,i,5,559
3,TN,i,9,559
4,TP,ii,1,559
0,TP,i,1,560
1,FP,i,4,560
2,FN,i,9,560
3,TN,i,7,560
4,TP,ii,3,560
0,TP,i,3,561
1,FP,i,3,561
2,FN,i,7,561
3,TN,i,8,561
4,TP,ii,1,561
0,TP,i,2,562
1,FP,i,6,562
2,FN,i,6,562
3,TN,i,7,562
4,TP,ii,0,562
0,TP,i,4,563
1,FP,i,1,563
2,FN,i,9,563
3,TN,i,7,563
4,TP,ii,0,563
0,TP,i,2,564
1,FP,i,7,564
2,FN,i,4,564
3,TN,i,8,564
4,TP,ii,0,564
0,TP,i,2,565
1,FP,i,7,565
2,FN,i,4,565
3,TN,i,8,565
4,TP,ii,1,565
0,TP,i,5,566
1,FP,i,2,566
2,FN,i,8,566
3,TN,i,6,566
4,TP,ii,1,566
0,TP,i,0,567
1,FP,i,6,567
2,FN,i,8,567
3,TN,i,7,567
4,TP,ii,1,567
0,TP,i,2,568
1,FP,i,9,568
2,FN,i,4,568
3,TN,i,6,568
4,TP,ii,1,568
0,TP,i,3,569
1,FP,i,5,569
2,FN,i,5,569
3,TN,i,8,569
4,TP,ii,2,569
0,TP,i,3,570
1,FP,i,4,570
2,FN,i,7,570
3,TN,i,7,570
4,TP,ii,0,570
0,TP,i,2,571
1,FP,i,8,571
2,FN,i,4,571
3,TN,i,7,571
4,TP,ii,1,571
0,TP,i,5,572
1,FP,i,5,572
2,FN,i,3,572
3,TN,i,8,572
4,TP,ii,1,572
0,TP,i,1,573
1,FP,i,3,573
2,FN,i,7,573
3,TN,i,10,573
4,TP,ii,2,573
0,TP,i,6,574
1,FP,i,6,574
2,FN,i,3,574
3,TN,i,6,574
4,TP,ii,1,574
0,TP,i,3,575
1,FP,i,9,575
2,FN,i,4,575
3,TN,i,5,575
4,TP,ii,0,575
0,TP,i,3,576
1,FP,i,5,576
2,FN,i,5,576
3,TN,i,8,576
4,TP,ii,1,576
0,TP,i,2,577
1,FP,i,4,577
2,FN,i,6,577
3,TN,i,9,577
4,TP,ii,3,577
0,TP,i,0,578
1,FP,i,9,578
2,FN,i,7,578
3,TN,i,5,578
4,TP,ii,1,578
0,TP,i,1,579
1,FP,i,7,579
2,FN,i,4,579
3,TN,i,9,579
4,TP,ii,0,579
0,TP,i,1,580
1,FP,i,5,580
2,FN,i,8,580
3,TN,i,7,580
4,TP,ii,1,580
0,TP,i,4,581
1,FP,i,3,581
2,FN,i,9,581
3,TN,i,5,581
4,TP,ii,1,581
0,TP,i,3,582
1,FP,i,4,582
2,FN,i,6,582
3,TN,i,8,582
4,TP,ii,0,582
0,TP,i,0,583
1,FP,i,5,583
2,FN,i,7,583
3,TN,i,9,583
4,TP,ii,1,583
0,TP,i,4,584
1,FP,i,5,584
2,FN,i,4,584
3,TN,i,8,584
4,TP,ii,0,584
0,TP,i,1,585
1,FP,i,8,585
2,FN,i,2,585
3,TN,i,10,585
4,TP,ii,0,585
0,TP,i,2,586
1,FP,i,3,586
2,FN,i,6,586
3,TN,i,10,586
4,TP,ii,0,586
0,TP,i,3,587
1,FP,i,7,587
2,FN,i,3,587
3,TN,i,8,587
4,TP,ii,0,587
0,TP,i,4,588
1,FP,i,7,588
2,FN,i,5,588
3,TN,i,5,588
4,TP,ii,1,588
0,TP,i,2,589
1,FP,i,6,589
2,FN,i,6,589
3,TN,i,7,589
4,TP,ii,0,589
0,TP,i,2,590
1,FP,i,4,590
2,FN,i,6,590
3,TN,i,9,590
4,TP,ii,1,590
0,TP,i,5,591
1,FP,i,4,591
2,FN,i,2,591
3,TN,i,10,591
4,TP,ii,1,591
0,TP,i,2,592
1,FP,i,4,592
2,FN,i,5,592
3,TN,i,10,592
4,TP,ii,1,592
0,TP,i,2,593
1,FP,i,1,593
2,FN,i,7,593
3,TN,i,11,593
4,TP,ii,2,593
0,TP,i,5,594
1,FP,i,2,594
2,FN,i,5,594
3,TN,i,9,594
4,TP,ii,3,594
0,TP,i,2,595
1,FP,i,5,595
2,FN,i,5,595
3,TN,i,9,595
4,TP,ii,0,595
0,TP,i,4,596
1,FP,i,5,596
2,FN,i,4,596
3,TN,i,8,596
4,TP,ii,0,596
0,TP,i,1,597
1,FP,i,8,597
2,FN,i,5,597
3,TN,i,7,597
4,TP,ii,0,597
0,TP,i,3,598
1,FP,i,4,598
2,FN,i,5,598
3,TN,i,9,598
4,TP,ii,0,598
0,TP,i,4,599
1,FP,i,7,599
2,FN,i,4,599
3,TN,i,6,599
4,TP,ii,0,599
0,TP,i,5,600
1,FP,i,6,600
2,FN,i,5,600
3,TN,i,5,600
4,TP,ii,2,600
0,TP,i,4,601
1,FP,i,6,601
2,FN,i,5,601
3,TN,i,6,601
4,TP,ii,1,601
0,TP,i,3,602
1,FP,i,8,602
2,FN,i,2,602
3,TN,i,8,602
4,TP,ii,2,602
0,TP,i,0,603
1,FP,i,4,603
2,FN,i,7,603
3,TN,i,10,603
4,TP,ii,0,603
0,TP,i,1,604
1,FP,i,5,604
2,FN,i,7,604
3,TN,i,8,604
4,TP,ii,2,604
0,TP,i,1,605
1,FP,i,6,605
2,FN,i,6,605
3,TN,i,8,605
4,TP,ii,1,605
0,TP,i,3,606
1,FP,i,5,606
2,FN,i,7,606
3,TN,i,6,606
4,TP,ii,0,606
0,TP,i,1,607
1,FP,i,5,607
2,FN,i,8,607
3,TN,i,7,607
4,TP,ii,1,607
0,TP,i,1,608
1,FP,i,1,608
2,FN,i,7,608
3,TN,i,12,608
4,TP,ii,2,608
0,TP,i,2,609
1,FP,i,6,609
2,FN,i,4,609
3,TN,i,9,609
4,TP,ii,0,609
0,TP,i,3,610
1,FP,i,7,610
2,FN,i,5,610
3,TN,i,6,610
4,TP,ii,0,610
0,TP,i,4,611
1,FP,i,7,611
2,FN,i,5,611
3,TN,i,5,611
4,TP,ii,0,611
0,TP,i,3,612
1,FP,i,3,612
2,FN,i,6,612
3,TN,i,9,612
4,TP,ii,0,612
0,TP,i,3,613
1,FP,i,5,613
2,FN,i,7,613
3,TN,i,6,613
4,TP,ii,1,613
0,TP,i,3,614
1,FP,i,3,614
2,FN,i,4,614
3,TN,i,11,614
4,TP,ii,2,614
0,TP,i,2,615
1,FP,i,6,615
2,FN,i,5,615
3,TN,i,8,615
4,TP,ii,1,615
0,TP,i,2,616
1,FP,i,6,616
2,FN,i,3,616
3,TN,i,10,616
4,TP,ii,1,616
0,TP,i,6,617
1,FP,i,6,617
2,FN,i,4,617
3,TN,i,5,617
4,TP,ii,1,617
0,TP,i,2,618
1,FP,i,4,618
2,FN,i,6,618
3,TN,i,9,618
4,TP,ii,2,618
0,TP,i,3,619
1,FP,i,2,619
2,FN,i,7,619
3,TN,i,9,619
4,TP,ii,0,619
0,TP,i,3,620
1,FP,i,3,620
2,FN,i,10,620
3,TN,i,5,620
4,TP,ii,0,620
0,TP,i,1,621
1,FP,i,5,621
2,FN,i,5,621
3,TN,i,10,621
4,TP,ii,1,621
0,TP,i,2,622
1,FP,i,3,622
2,FN,i,9,622
3,TN,i,7,622
4,TP,ii,0,622
0,TP,i,3,623
1,FP,i,9,623
2,FN,i,1,623
3,TN,i,8,623
4,TP,ii,1,623
0,TP,i,2,624
1,FP,i,12,624
2,FN,i,2,624
3,TN,i,5,624
4,TP,ii,1,624
0,TP,i,3,625
1,FP,i,8,625
2,FN,i,6,625
3,TN,i,4,625
4,TP,ii,0,625
0,TP,i,2,626
1,FP,i,6,626
2,FN,i,7,626
3,TN,i,6,626
4,TP,ii,0,626
0,TP,i,2,627
1,FP,i,9,627
2,FN,i,3,627
3,TN,i,7,627
4,TP,ii,1,627
0,TP,i,1,628
1,FP,i,4,628
2,FN,i,9,628
3,TN,i,7,628
4,TP,ii,1,628
0,TP,i,1,629
1,FP,i,2,629
2,FN,i,11,629
3,TN,i,7,629
4,TP,ii,0,629
0,TP,i,3,630
1,FP,i,1,630
2,FN,i,8,630
3,TN,i,9,630
4,TP,ii,1,630
0,TP,i,2,631
1,FP,i,6,631
2,FN,i,7,631
3,TN,i,6,631
4,TP,ii,1,631
0,TP,i,0,632
1,FP,i,6,632
2,FN,i,10,632
3,TN,i,5,632
4,TP,ii,1,632
0,TP,i,2,633
1,FP,i,6,633
2,FN,i,6,633
3,TN,i,7,633
4,TP,ii,0,633
0,TP,i,5,634
1,FP,i,5,634
2,FN,i,6,634
3,TN,i,5,634
4,TP,ii,0,634
0,TP,i,4,635
1,FP,i,6,635
2,FN,i,4,635
3,TN,i,7,635
4,TP,ii,0,635
0,TP,i,3,636
1,FP,i,8,636
2,FN,i,4,636
3,TN,i,6,636
4,TP,ii,1,636
0,TP,i,2,637
1,FP,i,2,637
2,FN,i,10,637
3,TN,i,7,637
4,TP,ii,1,637
0,TP,i,2,638
1,FP,i,7,638
2,FN,i,4,638
3,TN,i,8,638
4,TP,ii,0,638
0,TP,i,3,639
1,FP,i,1,639
2,FN,i,5,639
3,TN,i,12,639
4,TP,ii,1,639
0,TP,i,6,640
1,FP,i,5,640
2,FN,i,6,640
3,TN,i,4,640
4,TP,ii,1,640
0,TP,i,5,641
1,FP,i,4,641
2,FN,i,6,641
3,TN,i,6,641
4,TP,ii,2,641
0,TP,i,2,642
1,FP,i,8,642
2,FN,i,3,642
3,TN,i,8,642
4,TP,ii,1,642
0,TP,i,2,643
1,FP,i,2,643
2,FN,i,6,643
3,TN,i,11,643
4,TP,ii,0,643
0,TP,i,3,644
1,FP,i,6,644
2,FN,i,4,644
3,TN,i,8,644
4,TP,ii,0,644
0,TP,i,3,645
1,FP,i,7,645
2,FN,i,5,645
3,TN,i,6,645
4,TP,ii,1,645
0,TP,i,2,646
1,FP,i,9,646
2,FN,i,5,646
3,TN,i,5,646
4,TP,ii,1,646
0,TP,i,2,647
1,FP,i,7,647
2,FN,i,6,647
3,TN,i,6,647
4,TP,ii,3,647
0,TP,i,2,648
1,FP,i,10,648
2,FN,i,4,648
3,TN,i,5,648
4,TP,ii,2,648
0,TP,i,4,649
1,FP,i,6,649
2,FN,i,5,649
3,TN,i,6,649
4,TP,ii,0,649
0,TP,i,3,650
1,FP,i,7,650
2,FN,i,2,650
3,TN,i,9,650
4,TP,ii,0,650
0,TP,i,2,651
1,FP,i,4,651
2,FN,i,9,651
3,TN,i,6,651
4,TP,ii,0,651
0,TP,i,2,652
1,FP,i,8,652
2,FN,i,4,652
3,TN,i,7,652
4,TP,ii,0,652
0,TP,i,3,653
1,FP,i,5,653
2,FN,i,6,653
3,TN,i,7,653
4,TP,ii,0,653
0,TP,i,1,654
1,FP,i,7,654
2,FN,i,6,654
3,TN,i,7,654
4,TP,ii,0,654
0,TP,i,2,655
1,FP,i,5,655
2,FN,i,4,655
3,TN,i,10,655
4,TP,ii,1,655
0,TP,i,2,656
1,FP,i,3,656
2,FN,i,9,656
3,TN,i,7,656
4,TP,ii,1,656
0,TP,i,3,657
1,FP,i,5,657
2,FN,i,5,657
3,TN,i,8,657
4,TP,ii,1,657
0,TP,i,2,658
1,FP,i,6,658
2,FN,i,5,658
3,TN,i,8,658
4,TP,ii,0,658
0,TP,i,4,659
1,FP,i,3,659
2,FN,i,5,659
3,TN,i,9,659
4,TP,ii,1,659
0,TP,i,4,660
1,FP,i,7,660
2,FN,i,5,660
3,TN,i,5,660
4,TP,ii,2,660
0,TP,i,4,661
1,FP,i,4,661
2,FN,i,3,661
3,TN,i,10,661
4,TP,ii,1,661
0,TP,i,4,662
1,FP,i,4,662
2,FN,i,5,662
3,TN,i,8,662
4,TP,ii,0,662
0,TP,i,2,663
1,FP,i,4,663
2,FN,i,7,663
3,TN,i,8,663
4,TP,ii,1,663
0,TP,i,3,664
1,FP,i,4,664
2,FN,i,4,664
3,TN,i,10,664
4,TP,ii,3,664
0,TP,i,1,665
1,FP,i,5,665
2,FN,i,5,665
3,TN,i,10,665
4,TP,ii,1,665
0,TP,i,2,666
1,FP,i,5,666
2,FN,i,5,666
3,TN,i,9,666
4,TP,ii,1,666
0,TP,i,5,667
1,FP,i,7,667
2,FN,i,5,667
3,TN,i,4,667
4,TP,ii,0,667
0,TP,i,3,668
1,FP,i,5,668
2,FN,i,4,668
3,TN,i,9,668
4,TP,ii,2,668
0,TP,i,2,669
1,FP,i,4,669
2,FN,i,5,669
3,TN,i,10,669
4,TP,ii,1,669
0,TP,i,5,670
1,FP,i,9,670
2,FN,i,2,670
3,TN,i,5,670
4,TP,ii,0,670
0,TP,i,4,671
1,FP,i,4,671
2,FN,i,7,671
3,TN,i,6,671
4,TP,ii,0,671
0,TP,i,1,672
1,FP,i,7,672
2,FN,i,9,672
3,TN,i,4,672
4,TP,ii,1,672
0,TP,i,4,673
1,FP,i,7,673
2,FN,i,2,673
3,TN,i,8,673
4,TP,ii,1,673
0,TP,i,2,674
1,FP,i,5,674
2,FN,i,6,674
3,TN,i,8,674
4,TP,ii,1,674
0,TP,i,1,675
1,FP,i,4,675
2,FN,i,7,675
3,TN,i,9,675
4,TP,ii,1,675
0,TP,i,2,676
1,FP,i,7,676
2,FN,i,6,676
3,TN,i,6,676
4,TP,ii,1,676
0,TP,i,3,677
1,FP,i,5,677
2,FN,i,5,677
3,TN,i,8,677
4,TP,ii,3,677
0,TP,i,2,678
1,FP,i,4,678
2,FN,i,7,678
3,TN,i,8,678
4,TP,ii,2,678
0,TP,i,1,679
1,FP,i,6,679
2,FN,i,5,679
3,TN,i,9,679
4,TP,ii,1,679
0,TP,i,2,680
1,FP,i,5,680
2,FN,i,5,680
3,TN,i,9,680
4,TP,ii,1,680
0,TP,i,5,681
1,FP,i,4,681
2,FN,i,4,681
3,TN,i,8,681
4,TP,ii,2,681
0,TP,i,1,682
1,FP,i,3,682
2,FN,i,9,682
3,TN,i,8,682
4,TP,ii,1,682
0,TP,i,2,683
1,FP,i,7,683
2,FN,i,5,683
3,TN,i,7,683
4,TP,ii,0,683
0,TP,i,4,684
1,FP,i,7,684
2,FN,i,4,684
3,TN,i,6,684
4,TP,ii,0,684
0,TP,i,1,685
1,FP,i,7,685
2,FN,i,7,685
3,TN,i,6,685
4,TP,ii,0,685
0,TP,i,1,686
1,FP,i,4,686
2,FN,i,8,686
3,TN,i,8,686
4,TP,ii,1,686
0,TP,i,4,687
1,FP,i,8,687
2,FN,i,2,687
3,TN,i,7,687
4,TP,ii,0,687
0,TP,i,5,688
1,FP,i,8,688
2,FN,i,3,688
3,TN,i,5,688
4,TP,ii,0,688
0,TP,i,3,689
1,FP,i,3,689
2,FN,i,6,689
3,TN,i,9,689
4,TP,ii,1,689
0,TP,i,3,690
1,FP,i,6,690
2,FN,i,5,690
3,TN,i,7,690
4,TP,ii,1,690
0,TP,i,5,691
1,FP,i,5,691
2,FN,i,6,691
3,TN,i,5,691
4,TP,ii,0,691
0,TP,i,2,692
1,FP,i,6,692
2,FN,i,6,692
3,TN,i,7,692
4,TP,ii,1,692
0,TP,i,2,693
1,FP,i,2,693
2,FN,i,8,693
3,TN,i,9,693
4,TP,ii,1,693
0,TP,i,2,694
1,FP,i,3,694
2,FN,i,8,694
3,TN,i,8,694
4,TP,ii,1,694
0,TP,i,3,695
1,FP,i,5,695
2,FN,i,8,695
3,TN,i,5,695
4,TP,ii,0,695
0,TP,i,1,696
1,FP,i,5,696
2,FN,i,7,696
3,TN,i,8,696
4,TP,ii,0,696
0,TP,i,3,697
1,FP,i,3,697
2,FN,i,6,697
3,TN,i,9,697
4,TP,ii,3,697
0,TP,i,3,698
1,FP,i,9,698
2,FN,i,4,698
3,TN,i,5,698
4,TP,ii,1,698
0,TP,i,1,699
1,FP,i,8,699
2,FN,i,6,699
3,TN,i,6,699
4,TP,ii,0,699
0,TP,i,0,700
1,FP,i,7,700
2,FN,i,6,700
3,TN,i,8,700
4,TP,ii,0,700
0,TP,i,3,701
1,FP,i,8,701
2,FN,i,3,701
3,TN,i,7,701
4,TP,ii,1,701
0,TP,i,4,702
1,FP,i,3,702
2,FN,i,6,702
3,TN,i,8,702
4,TP,ii,0,702
0,TP,i,4,703
1,FP,i,3,703
2,FN,i,5,703
3,TN,i,9,703
4,TP,ii,0,703
0,TP,i,2,704
1,FP,i,4,704
2,FN,i,7,704
3,TN,i,8,704
4,TP,ii,1,704
0,TP,i,1,705
1,FP,i,4,705
2,FN,i,9,705
3,TN,i,7,705
4,TP,ii,0,705
0,TP,i,2,706
1,FP,i,3,706
2,FN,i,8,706
3,TN,i,8,706
4,TP,ii,0,706
0,TP,i,2,707
1,FP,i,4,707
2,FN,i,6,707
3,TN,i,9,707
4,TP,ii,2,707
0,TP,i,2,708
1,FP,i,3,708
2,FN,i,9,708
3,TN,i,7,708
4,TP,ii,0,708
0,TP,i,2,709
1,FP,i,5,709
2,FN,i,4,709
3,TN,i,10,709
4,TP,ii,0,709
0,TP,i,3,710
1,FP,i,5,710
2,FN,i,6,710
3,TN,i,7,710
4,TP,ii,1,710
0,TP,i,3,711
1,FP,i,7,711
2,FN,i,5,711
3,TN,i,6,711
4,TP,ii,0,711
0,TP,i,2,712
1,FP,i,4,712
2,FN,i,7,712
3,TN,i,8,712
4,TP,ii,0,712
0,TP,i,3,713
1,FP,i,7,713
2,FN,i,3,713
3,TN,i,8,713
4,TP,ii,1,713
0,TP,i,3,714
1,FP,i,7,714
2,FN,i,6,714
3,TN,i,5,714
4,TP,ii,0,714
0,TP,i,0,715
1,FP,i,8,715
2,FN,i,3,715
3,TN,i,10,715
4,TP,ii,1,715
0,TP,i,1,716
1,FP,i,7,716
2,FN,i,4,716
3,TN,i,9,716
4,TP,ii,0,716
0,TP,i,3,717
1,FP,i,6,717
2,FN,i,5,717
3,TN,i,7,717
4,TP,ii,1,717
0,TP,i,2,718
1,FP,i,9,718
2,FN,i,4,718
3,TN,i,6,718
4,TP,ii,1,718
0,TP,i,4,719
1,FP,i,5,719
2,FN,i,6,719
3,TN,i,6,719
4,TP,ii,0,719
0,TP,i,1,720
1,FP,i,4,720
2,FN,i,7,720
3,TN,i,9,720
4,TP,ii,1,720
0,TP,i,1,721
1,FP,i,3,721
2,FN,i,5,721
3,TN,i,12,721
4,TP,ii,1,721
0,TP,i,2,722
1,FP,i,5,722
2,FN,i,7,722
3,TN,i,7,722
4,TP,ii,1,722
0,TP,i,2,723
1,FP,i,4,723
2,FN,i,9,723
3,TN,i,6,723
4,TP,ii,2,723
0,TP,i,3,724
1,FP,i,6,724
2,FN,i,6,724
3,TN,i,6,724
4,TP,ii,2,724
0,TP,i,0,725
1,FP,i,2,725
2,FN,i,6,725
3,TN,i,13,725
4,TP,ii,3,725
0,TP,i,5,726
1,FP,i,6,726
2,FN,i,4,726
3,TN,i,6,726
4,TP,ii,1,726
0,TP,i,2,727
1,FP,i,7,727
2,FN,i,6,727
3,TN,i,6,727
4,TP,ii,1,727
0,TP,i,1,728
1,FP,i,4,728
2,FN,i,9,728
3,TN,i,7,728
4,TP,ii,0,728
0,TP,i,1,729
1,FP,i,4,729
2,FN,i,4,729
3,TN,i,12,729
4,TP,ii,3,729
0,TP,i,1,730
1,FP,i,5,730
2,FN,i,7,730
3,TN,i,8,730
4,TP,ii,0,730
0,TP,i,2,731
1,FP,i,8,731
2,FN,i,6,731
3,TN,i,5,731
4,TP,ii,0,731
0,TP,i,2,732
1,FP,i,6,732
2,FN,i,6,732
3,TN,i,7,732
4,TP,ii,1,732
0,TP,i,4,733
1,FP,i,5,733
2,FN,i,2,733
3,TN,i,10,733
4,TP,ii,0,733
0,TP,i,4,734
1,FP,i,7,734
2,FN,i,5,734
3,TN,i,5,734
4,TP,ii,0,734
0,TP,i,2,735
1,FP,i,6,735
2,FN,i,6,735
3,TN,i,7,735
4,TP,ii,2,735
0,TP,i,2,736
1,FP,i,7,736
2,FN,i,2,736
3,TN,i,10,736
4,TP,ii,0,736
0,TP,i,3,737
1,FP,i,6,737
2,FN,i,4,737
3,TN,i,8,737
4,TP,ii,1,737
0,TP,i,4,738
1,FP,i,3,738
2,FN,i,7,738
3,TN,i,7,738
4,TP,ii,0,738
0,TP,i,4,739
1,FP,i,4,739
2,FN,i,4,739
3,TN,i,9,739
4,TP,ii,2,739
0,TP,i,0,740
1,FP,i,3,740
2,FN,i,7,740
3,TN,i,11,740
4,TP,ii,4,740
0,TP,i,5,741
1,FP,i,3,741
2,FN,i,6,741
3,TN,i,7,741
4,TP,ii,0,741
0,TP,i,1,742
1,FP,i,4,742
2,FN,i,7,742
3,TN,i,9,742
4,TP,ii,1,742
0,TP,i,2,743
1,FP,i,9,743
2,FN,i,3,743
3,TN,i,7,743
4,TP,ii,2,743
0,TP,i,4,744
1,FP,i,7,744
2,FN,i,4,744
3,TN,i,6,744
4,TP,ii,0,744
0,TP,i,4,745
1,FP,i,7,745
2,FN,i,2,745
3,TN,i,8,745
4,TP,ii,1,745
0,TP,i,3,746
1,FP,i,6,746
2,FN,i,6,746
3,TN,i,6,746
4,TP,ii,1,746
0,TP,i,2,747
1,FP,i,6,747
2,FN,i,4,747
3,TN,i,9,747
4,TP,ii,1,747
0,TP,i,7,748
1,FP,i,4,748
2,FN,i,5,748
3,TN,i,5,748
4,TP,ii,0,748
0,TP,i,6,749
1,FP,i,1,749
2,FN,i,5,749
3,TN,i,9,749
4,TP,ii,1,749
0,TP,i,4,750
1,FP,i,3,750
2,FN,i,7,750
3,TN,i,7,750
4,TP,ii,0,750
0,TP,i,4,751
1,FP,i,5,751
2,FN,i,5,751
3,TN,i,7,751
4,TP,ii,0,751
0,TP,i,3,752
1,FP,i,6,752
2,FN,i,4,752
3,TN,i,8,752
4,TP,ii,0,752
0,TP,i,4,753
1,FP,i,7,753
2,FN,i,4,753
3,TN,i,6,753
4,TP,ii,1,753
0,TP,i,3,754
1,FP,i,1,754
2,FN,i,6,754
3,TN,i,11,754
4,TP,ii,3,754
0,TP,i,1,755
1,FP,i,7,755
2,FN,i,5,755
3,TN,i,8,755
4,TP,ii,0,755
0,TP,i,2,756
1,FP,i,5,756
2,FN,i,6,756
3,TN,i,8,756
4,TP,ii,0,756
0,TP,i,4,757
1,FP,i,2,757
2,FN,i,7,757
3,TN,i,8,757
4,TP,ii,0,757
0,TP,i,3,758
1,FP,i,2,758
2,FN,i,9,758
3,TN,i,7,758
4,TP,ii,1,758
0,TP,i,2,759
1,FP,i,6,759
2,FN,i,4,759
3,TN,i,9,759
4,TP,ii,0,759
0,TP,i,1,760
1,FP,i,3,760
2,FN,i,8,760
3,TN,i,9,760
4,TP,ii,1,760
0,TP,i,2,761
1,FP,i,7,761
2,FN,i,7,761
3,TN,i,5,761
4,TP,ii,1,761
0,TP,i,3,762
1,FP,i,4,762
2,FN,i,5,762
3,TN,i,9,762
4,TP,ii,0,762
0,TP,i,2,763
1,FP,i,4,763
2,FN,i,9,763
3,TN,i,6,763
4,TP,ii,1,763
0,TP,i,2,764
1,FP,i,4,764
2,FN,i,6,764
3,TN,i,9,764
4,TP,ii,0,764
0,TP,i,0,765
1,FP,i,6,765
2,FN,i,5,765
3,TN,i,10,765
4,TP,ii,0,765
0,TP,i,1,766
1,FP,i,2,766
2,FN,i,9,766
3,TN,i,9,766
4,TP,ii,2,766
0,TP,i,3,767
1,FP,i,5,767
2,FN,i,8,767
3,TN,i,5,767
4,TP,ii,0,767
0,TP,i,3,768
1,FP,i,4,768
2,FN,i,9,768
3,TN,i,5,768
4,TP,ii,1,768
0,TP,i,2,769
1,FP,i,5,769
2,FN,i,5,769
3,TN,i,9,769
4,TP,ii,3,769
0,TP,i,3,770
1,FP,i,3,770
2,FN,i,7,770
3,TN,i,8,770
4,TP,ii,0,770
0,TP,i,2,771
1,FP,i,5,771
2,FN,i,6,771
3,TN,i,8,771
4,TP,ii,1,771
0,TP,i,2,772
1,FP,i,5,772
2,FN,i,6,772
3,TN,i,8,772
4,TP,ii,2,772
0,TP,i,1,773
1,FP,i,7,773
2,FN,i,3,773
3,TN,i,10,773
4,TP,ii,0,773
0,TP,i,0,774
1,FP,i,4,774
2,FN,i,8,774
3,TN,i,9,774
4,TP,ii,3,774
0,TP,i,3,775
1,FP,i,6,775
2,FN,i,7,775
3,TN,i,5,775
4,TP,ii,2,775
0,TP,i,2,776
1,FP,i,8,776
2,FN,i,5,776
3,TN,i,6,776
4,TP,ii,0,776
0,TP,i,4,777
1,FP,i,4,777
2,FN,i,8,777
3,TN,i,5,777
4,TP,ii,1,777
0,TP,i,3,778
1,FP,i,6,778
2,FN,i,4,778
3,TN,i,8,778
4,TP,ii,1,778
0,TP,i,2,779
1,FP,i,4,779
2,FN,i,7,779
3,TN,i,8,779
4,TP,ii,0,779
0,TP,i,4,780
1,FP,i,5,780
2,FN,i,6,780
3,TN,i,6,780
4,TP,ii,1,780
0,TP,i,1,781
1,FP,i,4,781
2,FN,i,5,781
3,TN,i,11,781
4,TP,ii,0,781
0,TP,i,4,782
1,FP,i,6,782
2,FN,i,6,782
3,TN,i,5,782
4,TP,ii,1,782
0,TP,i,5,783
1,FP,i,4,783
2,FN,i,8,783
3,TN,i,4,783
4,TP,ii,0,783
0,TP,i,2,784
1,FP,i,5,784
2,FN,i,4,784
3,TN,i,10,784
4,TP,ii,2,784
0,TP,i,3,785
1,FP,i,4,785
2,FN,i,4,785
3,TN,i,10,785
4,TP,ii,1,785
0,TP,i,4,786
1,FP,i,4,786
2,FN,i,4,786
3,TN,i,9,786
4,TP,ii,2,786
0,TP,i,5,787
1,FP,i,8,787
2,FN,i,1,787
3,TN,i,7,787
4,TP,ii,1,787
0,TP,i,2,788
1,FP,i,4,788
2,FN,i,6,788
3,TN,i,9,788
4,TP,ii,2,788
0,TP,i,2,789
1,FP,i,4,789
2,FN,i,4,789
3,TN,i,11,789
4,TP,ii,2,789
0,TP,i,6,790
1,FP,i,4,790
2,FN,i,6,790
3,TN,i,5,790
4,TP,ii,1,790
0,TP,i,2,791
1,FP,i,3,791
2,FN,i,4,791
3,TN,i,12,791
4,TP,ii,2,791
0,TP,i,0,792
1,FP,i,4,792
2,FN,i,9,792
3,TN,i,8,792
4,TP,ii,1,792
0,TP,i,3,793
1,FP,i,8,793
2,FN,i,6,793
3,TN,i,4,793
4,TP,ii,0,793
0,TP,i,1,794
1,FP,i,3,794
2,FN,i,9,794
3,TN,i,8,794
4,TP,ii,0,794
0,TP,i,2,795
1,FP,i,8,795
2,FN,i,3,795
3,TN,i,8,795
4,TP,ii,0,795
0,TP,i,3,796
1,FP,i,1,796
2,FN,i,8,796
3,TN,i,9,796
4,TP,ii,1,796
0,TP,i,4,797
1,FP,i,4,797
2,FN,i,6,797
3,TN,i,7,797
4,TP,ii,0,797
0,TP,i,5,798
1,FP,i,8,798
2,FN,i,4,798
3,TN,i,4,798
4,TP,ii,0,798
0,TP,i,2,799
1,FP,i,5,799
2,FN,i,4,799
3,TN,i,10,799
4,TP,ii,1,799
0,TP,i,3,800
1,FP,i,6,800
2,FN,i,5,800
3,TN,i,7,800
4,TP,ii,0,800
0,TP,i,1,801
1,FP,i,4,801
2,FN,i,12,801
3,TN,i,4,801
4,TP,ii,0,801
0,TP,i,4,802
1,FP,i,5,802
2,FN,i,7,802
3,TN,i,5,802
4,TP,ii,0,802
0,TP,i,1,803
1,FP,i,7,803
2,FN,i,6,803
3,TN,i,7,803
4,TP,ii,0,803
0,TP,i,5,804
1,FP,i,3,804
2,FN,i,6,804
3,TN,i,7,804
4,TP,ii,2,804
